"Šifra";"Prethodna sidrena (redovna)";"Ispravljena sidrena (akcijska)";"Aktualna cijena u snapshotu";"Redovna cijena u snapshotu"
"11_0324_17_NAVY";"9,16";"5,09";"5,09";"9,16"
"15K0012002_BEIGE";"69,99";"63,99";"63,99";"69,99"
"15K0313006_1NAVY";"59,99";"46,99";"46,99";"59,99"
"15K0313006_NAVY";"59,99";"46,99";"46,99";"59,99"
"15K0323003_NAVY";"58,99";"52,99";"52,99";"58,99"
"26K001201_NAVY_ROSE";"59,99";"49,00";"49,00";"59,99"
"26K0042001_MINT";"49,99";"39,00";"39,00";"49,99"
"26K0051001_BLACK";"39,99";"29,90";"29,90";"39,99"
"26K0051001_GREY";"39,99";"29,90";"29,90";"39,99"
"95K0783001_NAVY";"43,99";"33,90";"33,90";"43,99"
"100_NAVY";"16,99";"14,99";"14,99";"16,99"
"0101_WHITE";"15,99";"9,99";"9,99";"15,99"
"0102_WHITE";"15,99";"6,99";"6,99";"15,99"
"110_BLACK";"59,99";"49,99";"49,99";"59,99"
"119_BLACK";"59,99";"49,99";"49,99";"59,99"
"129_BLUE";"6,50";"5,09";"5,09";"6,50"
"129_TIRKIZ";"6,50";"5,09";"5,09";"6,50"
"129_ZLENA_J";"6,50";"5,09";"5,09";"6,50"
"134_GREEN_APPLE";"6,50";"5,09";"5,09";"6,50"
"134_RED";"6,50";"5,09";"5,09";"6,50"
"138_BLACK";"5,18";"3,79";"3,79";"5,18"
"138_MALINE";"5,18";"3,79";"3,79";"5,18"
"138_RED";"5,18";"3,79";"3,79";"5,18"
"145_WHITE";"59,99";"49,99";"49,99";"59,99"
"0246_WHITE";"52,96";"19,99";"19,99";"52,96"
"0247_WHITE";"52,96";"19,99";"19,99";"52,96"
"253_N_BEIGE";"32,99";"24,99";"24,99";"32,99"
"253_N_BLACK";"32,99";"24,99";"24,99";"32,99"
"253_N_BLUE";"32,99";"24,99";"24,99";"32,99"
"260_110";"8,49";"4,25";"4,25";"8,49"
"260_119";"8,49";"4,25";"4,25";"8,49"
"300_BLACK";"49,99";"44,99";"44,99";"49,99"
"300_PERLA";"49,99";"44,99";"44,99";"49,99"
"300_WHITE";"49,99";"44,99";"44,99";"49,99"
"300M_BLACK";"48,99";"44,99";"44,99";"48,99"
"300M_WHITE";"48,99";"44,99";"44,99";"48,99"
"360_1RED";"47,99";"38,99";"38,99";"47,99"
"360_BLACK";"47,99";"38,99";"38,99";"47,99"
"360_RED";"47,99";"38,99";"38,99";"47,99"
"501_WHITE";"9,99";"8,99";"8,99";"9,99"
"598_01_BEIGE";"16,99";"14,99";"14,99";"16,99"
"700_M_BLACK";"45,99";"39,99";"39,99";"45,99"
"700_M_WHITE";"45,99";"39,99";"39,99";"45,99"
"712_PINK";"19,78";"17,09";"17,09";"19,78"
"750_1BLACK";"32,99";"29,99";"29,99";"32,99"
"750_1BLUE";"32,99";"29,99";"29,99";"32,99"
"750_1WHITE";"32,99";"29,99";"29,99";"32,99"
"800_WHITE";"42,99";"35,99";"35,99";"42,99"
"812_WHITE";"38,99";"33,99";"33,99";"38,99"
"900_1BLACK";"45,99";"36,99";"36,99";"45,99"
"900_1WHITE";"45,99";"36,99";"36,99";"45,99"
"902_BLACK";"49,99";"44,99";"44,99";"49,99"
"902_BLUE";"49,99";"44,99";"44,99";"49,99"
"902_RED";"49,99";"44,99";"44,99";"49,99"
"902_WHITE";"49,99";"44,99";"44,99";"49,99"
"905_BLACK";"43,99";"39,59";"39,59";"43,99"
"912_BLACK";"48,99";"42,99";"42,99";"48,99"
"912_N_WHITE";"51,99";"45,99";"45,99";"51,99"
"950_BLACK";"49,99";"39,99";"39,99";"49,99"
"950_PERLA";"49,99";"39,99";"39,99";"49,99"
"950_WHITE";"49,99";"39,99";"39,99";"49,99"
"953_BLACK";"48,99";"43,99";"43,99";"48,99"
"953_BLUE";"48,99";"43,99";"43,99";"48,99"
"953_WHITE";"48,99";"43,99";"43,99";"48,99"
"968_BLACK";"22,99";"19,99";"19,99";"22,99"
"1024_BLACK";"46,99";"41,99";"41,99";"46,99"
"1024_WHITE";"46,99";"41,99";"41,99";"46,99"
"1041_WHITE";"29,99";"18,99";"18,99";"29,99"
"001047";"549,00";"449,00";"449,00";"549,00"
"1060_PINK";"21,10";"12,99";"12,99";"21,10"
"1060_PURPLE";"21,10";"12,99";"12,99";"21,10"
"1060_WHITE_G";"29,99";"19,99";"19,99";"29,99"
"1082_WHITE";"29,99";"16,99";"16,99";"29,99"
"1110_BLACK";"42,99";"28,99";"28,99";"42,99"
"1112_CRNA";"4,49";"2,25";"2,25";"4,49"
"1112_SIVA";"4,49";"2,25";"2,25";"4,49"
"01129_110";"3,29";"1,65";"1,65";"3,29"
"1150_BLACK";"36,99";"26,99";"26,99";"36,99"
"01175_110_BIJELA";"4,49";"2,25";"2,25";"4,49"
"1175_WHITE";"10,99";"5,50";"5,50";"10,99"
"1250_N_BLACK";"46,99";"39,99";"39,99";"46,99"
"1350_1BLACK";"28,99";"24,99";"24,99";"28,99"
"1350_1WHITE";"28,99";"24,99";"24,99";"28,99"
"1352_1BLACK";"28,99";"24,99";"24,99";"28,99"
"1352_1BLUE";"28,99";"24,99";"24,99";"28,99"
"1352_1WHITE";"28,99";"24,99";"24,99";"28,99"
"1364_BLUE";"28,99";"24,99";"24,99";"28,99"
"1372_1BLACK";"28,99";"24,99";"24,99";"28,99"
"1372_NAVY";"28,99";"24,99";"24,99";"28,99"
"1372_WHITE";"28,99";"24,99";"24,99";"28,99"
"1468_BLACK";"30,39";"22,99";"22,99";"30,39"
"1642_GREY";"29,99";"23,99";"23,99";"29,99"
"1772_BLUE";"32,99";"29,99";"29,99";"32,99"
"1772_WHITE";"32,99";"29,99";"29,99";"32,99"
"2008_WHITE";"26,41";"21,09";"21,09";"26,41"
"2019_13_PLAVA";"17,12";"6,99";"6,99";"17,12"
"2019_39_BLACK";"9,16";"5,09";"5,09";"9,16"
"2019_40_BEIGE_1";"9,16";"5,09";"5,09";"9,16"
"2019_41_GREY_1";"9,16";"5,09";"5,09";"9,16"
"2019_92_BORDO";"17,12";"7,99";"7,99";"17,12"
"2019_93_BLUE";"17,12";"7,99";"7,99";"17,12"
"2019_BLACK";"53,99";"45,99";"45,99";"53,99"
"2019_N_BLACK";"54,99";"49,99";"49,99";"54,99"
"2022_N_BLACK";"51,99";"44,99";"44,99";"51,99"
"2022_N_MINT";"51,99";"44,99";"44,99";"51,99"
"2022_N_PERLA";"51,99";"44,99";"44,99";"51,99"
"2022_N_SILVER";"51,99";"44,99";"44,99";"51,99"
"2022_N_WHITE";"51,99";"44,99";"44,99";"51,99"
"2023_BLACK_L";"49,99";"44,99";"44,99";"49,99"
"2023_PERLA_L";"49,99";"44,99";"44,99";"49,99"
"2023_WHITE_L";"49,99";"44,99";"44,99";"49,99"
"2162_RED";"17,12";"10,39";"10,39";"17,12"
"02230_090";"3,19";"1,60";"1,60";"3,19"
"02235_096";"5,49";"2,75";"2,75";"5,49"
"2378_BLACK";"22,99";"15,99";"15,99";"22,99"
"2378_GREY";"22,99";"15,99";"15,99";"22,99"
"2378_KHAKI";"22,99";"15,99";"15,99";"22,99"
"2490A_NAVY";"19,78";"15,99";"15,99";"19,78"
"02580_MAVI";"10,49";"6,49";"6,49";"10,49"
"2636_NERO2";"30,39";"16,99";"16,99";"30,39"
"2681_NAVY";"35,70";"19,99";"19,99";"35,70"
"2837_NAVY";"19,78";"6,99";"6,99";"19,78"
"02884_PINK";"9,09";"7,99";"7,99";"9,09"
"03034_BLUE";"9,09";"7,99";"7,99";"9,09"
"03085_RED_NAVY";"9,09";"7,99";"7,99";"9,09"
"3130_BLACK";"36,99";"29,99";"29,99";"36,99"
"3200_BLACK";"51,99";"39,99";"39,99";"51,99"
"3200_N_PERLA";"51,99";"39,99";"39,99";"51,99"
"3200_WHITE";"51,99";"39,99";"39,99";"51,99"
"3300_N_BLACK";"44,99";"39,99";"39,99";"44,99"
"3300_N_PERLA";"44,99";"39,99";"39,99";"44,99"
"3300_N_WHITE";"44,99";"39,99";"39,99";"44,99"
"3500_BLACK";"42,99";"36,99";"36,99";"42,99"
"3500_N_BLACK";"44,99";"39,99";"39,99";"44,99"
"3500_N_WHITE";"44,99";"39,99";"39,99";"44,99"
"3520_BEIGE";"19,99";"17,99";"17,99";"19,99"
"4148_1_SMEDA";"24,99";"22,49";"22,49";"24,99"
"4148_7_NAVY";"24,99";"22,49";"22,49";"24,99"
"4148_Y_BLACK";"27,99";"24,99";"24,99";"27,99"
"4148_Y_NAVY";"27,99";"24,99";"24,99";"27,99"
"4250_BLACK";"49,99";"44,99";"44,99";"49,99"
"4250_WHITE";"49,99";"44,99";"44,99";"49,99"
"4251_MINT_SILVER";"47,99";"42,99";"42,99";"47,99"
"4251_PERLA";"51,99";"42,99";"42,99";"51,99"
"4350_FLOWER";"32,99";"26,99";"26,99";"32,99"
"4350_FLOWER_WHT";"32,99";"29,99";"29,99";"32,99"
"4350_HEARTS";"32,99";"29,99";"29,99";"32,99"
"4352_1FLOWER";"32,99";"29,99";"29,99";"32,99"
"4367_FLOWER_BLK";"32,99";"29,99";"29,99";"32,99"
"4367_WHT_FLOWER";"32,99";"29,99";"29,99";"32,99"
"4371_WHITE";"32,99";"29,99";"29,99";"32,99"
"4372_1FLOWER";"32,99";"26,99";"26,99";"32,99"
"4372_BLK_FLOWER";"28,99";"24,99";"24,99";"28,99"
"4944_PURPLE";"36,99";"28,99";"28,99";"36,99"
"5001_BLACK";"52,99";"44,99";"44,99";"52,99"
"5001_N_BLACK";"52,99";"44,99";"44,99";"52,99"
"5001_PERLA";"52,99";"44,99";"44,99";"52,99"
"5001_RED";"45,99";"36,99";"36,99";"45,99"
"5001_WHITE";"52,99";"44,99";"44,99";"52,99"
"5002_N_BLACK";"51,99";"42,99";"42,99";"51,99"
"5002_N_PERLA";"51,99";"42,99";"42,99";"51,99"
"5002_N_WHITE";"51,99";"42,99";"42,99";"51,99"
"5011_BLUE";"27,99";"19,99";"19,99";"27,99"
"5370_BLACK";"26,99";"22,99";"22,99";"26,99"
"5971MED";"14,99";"11,99";"11,99";"14,99"
"6000_1_BLACK";"55,99";"51,99";"51,99";"55,99"
